# Songs Manifest - Generated 2025-12-24 23:46:39
Name,Path,Modified,Firmware,Has Arrangement,Kit Count,Synth Count,Audio Track Count,MIDI Channel Count,Kits,Synths,Audio Tracks,MIDI Channels
"Kg","SONGS/Kg.XML",2025-12-24,4.0.1,No,1,0,0,0,"KITS/KIT005","","",""
"Lcd","SONGS/Lcd.XML",2025-12-24,4.0.1,No,0,0,0,1,"","","","0"
"Lemon","SONGS/Lemon.XML",2025-12-24,4.0.1,No,1,2,1,0,"KITS/KIT043","SYNTHS/KRAF-POLY; SYNTHS/YAZO-SEQ","AUDIO2=SAMPLES/CLIPS/REC00050.WAV",""
"Mountain","SONGS/Mountain.XML",2025-12-24,4.0.1,No,1,2,0,0,"KITS/KIT016","SYNTHS/31-BASS1; SYNTHS/62-EFFECTSOUND1","",""
"Noize","SONGS/Noize.XML",2025-12-24,4.0.1,No,0,0,1,0,"","","AUDIO1=SAMPLES/RESAMPLE/REC00017.WAV",""
"Notbs","SONGS/Notbs.XML",2025-12-24,4.0.1,No,0,0,0,1,"","","","0"
"Paddy","SONGS/Paddy.XML",2025-12-24,4.0.0,Yes,1,0,0,0,"KITS/KIT013","","",""
"PianoArp","SONGS/PianoArp.XML",2025-12-24,4.0.1,No,1,0,1,0,"KITS/KIT031","","AUDIO1=SAMPLES/CLIPS/REC00005.WAV",""
"PianoFatBass","SONGS/PianoFatBass.XML",2025-12-24,4.0.1,No,1,0,1,0,"KITS/KIT031","","AUDIO1=SAMPLES/CLIPS/REC00005.WAV",""
"Polygon","SONGS/Polygon.XML",2025-12-24,4.0.1,No,3,0,0,1,"KITS/KIT000; KITS/KIT051; KITS/KIT053","","","1"
"Repeatbeat","SONGS/Repeatbeat.XML",2025-12-24,4.0.0,No,0,0,0,0,"","","",""
"Rr","SONGS/Rr.XML",2025-12-24,4.0.0,No,1,0,0,0,"KITS/KIT021","","",""
"SlpspkArpsOld","SONGS/SlpspkArpsOld.XML",2025-12-24,4.0.0,No,1,0,0,0,"KITS/KIT000","","",""
"SlpspkRemix","SONGS/SlpspkRemix.XML",2025-12-24,4.0.1,No,5,0,0,0,"KITS/KIT000; KITS/SS-C-Bass; KITS/SS-C-Inst; KITS/SS-C-vox; KITS/SS-Drums","","",""
"Sot","SONGS/Sot.XML",2025-12-24,4.0.1,Yes,4,0,1,0,"KITS/KIT042; KITS/KIT043; KITS/KIT044; KITS/KIT045","","AUDIO1=SAMPLES/CLIPS/REC00047.WAV",""
"Spook","SONGS/Spook.XML",2025-12-24,4.0.1,No,2,0,0,0,"KITS/KIT043; KITS/KIT044","","",""
"Stoner","SONGS/Stoner.XML",2025-12-24,4.0.1,No,1,0,3,0,"KITS/KIT010","","AUDIO1=SAMPLES/CLIPS/REC00009.WAV; AUDIO2=SAMPLES/CLIPS/REC00011.WAV; AUDIO3=SAMPLES/CLIPS/REC00013.WAV",""
"Thom","SONGS/Thom.XML",2025-12-24,4.0.1,No,1,0,0,0,"KITS/KIT003","","",""
"Three","SONGS/Three.XML",2025-12-24,4.0.1,No,0,0,0,1,"","","","0"
"Wf","SONGS/Wf.XML",2025-12-24,4.0.1,Yes,3,7,0,0,"KITS/KIT000; KITS/KIT001; KITS/KIT019","SYNTHS/55-POPCORN; SYNTHS/KERERU/Arp1; SYNTHS/KERERU/Arp2; SYNTHS/KERERU/K01Arp; SYNTHS/KERERU/K01Bass; SYNTHS/KERERU/K01Drone; SYNTHS/KERERU/K01Violin","",""
"Yeti","SONGS/Yeti.XML",2025-12-24,4.0.1,Yes,2,0,0,0,"KITS/KIT010; KITS/KIT046","","",""
